Tweet Id,Datetime,Text,Topic
1350526920878770000,1/16/2021 19:34,RT @Noid68: @Acyn Wear a mask &amp; throw Rand Paul away! 😷👍 https://t.co/a7xI4jx4q8,Rand Paul
1350526927891810000,1/16/2021 19:34,"RT @mmpadellan: Rand Paul says if you get vaccinated you don't have to wear a mask.

Rand Paul is WRONG.
Rand Paul is not a real doctor.
Ra…",Rand Paul
1350526928936070000,1/16/2021 19:34,"RT @SilverAdie: 🔥

“Rand Paul is obviously compromised 

That’s why he’s quick to repeat all of Trump’s-lies 

John McCain noticed &amp; -accus…",Rand Paul
1350526930093800000,1/16/2021 19:34,"RT @mmpadellan: Rand Paul says if you get vaccinated you don't have to wear a mask.

Rand Paul is WRONG.
Rand Paul is not a real doctor.
Ra…",Rand Paul
1350526932765600000,1/16/2021 19:34,"RT @Joni_Looking: ATTENTION 

What the ""F""..?

Rand Paul, who is ONLY a 'Eye Dr."" 
went on 
FoX Noise
&amp; 
Told LIE's 

This IDIOT 🙄 
Told Pe…",Rand Paul
1350526935554730000,1/16/2021 19:34,RT @adamcbest: how about we keep the masks and throw away Rand Paul instead,Rand Paul
1350526936758380000,1/16/2021 19:34,"RT @riotwomennn: When Rand Paul tries to spread #COVID19, I always remember this 

Senator John McCain called it in March of 2017.  

Rand…",Rand Paul
1350526938209630000,1/16/2021 19:34,"RT @darakass: Evergreen line. 

Don't be like Rand Paul.",Rand Paul
1350526938826210000,1/16/2021 19:34,RT @PalmerReport: Rand Paul should go to prison for inciting a pandemic,Rand Paul
1350526941049150000,1/16/2021 19:34,John McCahn said Rand Paul works for Putin. I think he was right https://t.co/MYDJWVnivl,Rand Paul
1350526941657400000,1/16/2021 19:34,RT @PalmerReport: Rand Paul should go to prison for inciting a pandemic,Rand Paul
1350526945222650000,1/16/2021 19:34,"RT @mmpadellan: Rand Paul says if you get vaccinated you don't have to wear a mask.

Rand Paul is WRONG.
Rand Paul is not a real doctor.
Ra…",Rand Paul
1350526950578720000,1/16/2021 19:34,"RT @chipfranklin: Rand Paul is a super spreader.
Pass it on.",Rand Paul
1350526950771740000,1/16/2021 19:34,"RT @chipfranklin: Rand Paul is a super spreader.
Pass it on.",Rand Paul
1350526951019180000,1/16/2021 19:34,"RT @riotwomennn: When Rand Paul tries to spread #COVID19, I always remember this 

Senator John McCain called it in March of 2017.  

Rand…",Rand Paul
1350526952977930000,1/16/2021 19:34,"@mmpadellan Rand Paul
Don’t be like Rand Paul. https://t.co/1gyShWN31n",Rand Paul
1350526955024570000,1/16/2021 19:34,"RT @riotwomennn: When Rand Paul tries to spread #COVID19, I always remember this 

Senator John McCain called it in March of 2017.  

Rand…",Rand Paul
1350526957075660000,1/16/2021 19:34,"RT @mmpadellan: Rand Paul says if you get vaccinated you don't have to wear a mask.

Rand Paul is WRONG.
Rand Paul is not a real doctor.
Ra…",Rand Paul
1350526961655930000,1/16/2021 19:34,"RT @SteveRustad1: Ted Cruz is guilty of inciting violent insurrection.

Guilty as hell.

Expel that traitor from the Senate.

Indict.

Conv…",Rand Paul
1350526970208140000,1/16/2021 19:34,RT @SilviaG19343492: @mmpadellan He also said that 1/3 republicans will leave if the GOP backs impeachment of Trump. I would say thats a go…,Rand Paul
1350526971122490000,1/16/2021 19:34,"RT @mmpadellan: Rand Paul says if you get vaccinated you don't have to wear a mask.

Rand Paul is WRONG.
Rand Paul is not a real doctor.
Ra…",Rand Paul
1350526977187340000,1/16/2021 19:34,"RT @chipfranklin: Rand Paul is a super spreader.
Pass it on.",Rand Paul
1350526988415620000,1/16/2021 19:35,"Can I get that in writing?
https://t.co/M0F59345uj",Rand Paul
1350526989384480000,1/16/2021 19:35,"RT @SKMorefield: Rand Paul: ""They will never let up. There are doctors out there saying we may need to wear [masks] forever. That is ridicu…",Rand Paul
1350526991716340000,1/16/2021 19:35,"RT @riotwomennn: When Rand Paul tries to spread #COVID19, I always remember this 

Senator John McCain called it in March of 2017.  

Rand…",Rand Paul
1350526992714660000,1/16/2021 19:35,"RT @IngrahamAngle: .@RandPaul: One-third of Republicans will leave party if GOP senators go along with convicting Trump.

https://t.co/V0EE…",Rand Paul
1350527000075770000,1/16/2021 19:35,@VABVOX Is it possible to sue rand paul? I want to try but I have zero experience with the law. Can anyone help me?,Rand Paul
1350527003427020000,1/16/2021 19:35,"RT @riotwomennn: When Rand Paul tries to spread #COVID19, I always remember this 

Senator John McCain called it in March of 2017.  

Rand…",Rand Paul
1350527008908870000,1/16/2021 19:35,"RT @politvidchannel: Rand Paul says if you get vaccinated you don't have to wear a mask.

Rand Paul is NUTS. don’t listen to Senator Rand P…",Rand Paul
1350527010083370000,1/16/2021 19:35,RT @PalmerReport: Rand Paul should go to prison for inciting a pandemic,Rand Paul
1350527012415230000,1/16/2021 19:35,RT @WELLNESSxAll: Rand Paul's Horribly Flawed Logic: Paul thinks that if one-third of Republicans leave Party because GOP Senators go along…,Rand Paul
1350527013690500000,1/16/2021 19:35,"RT @mmpadellan: Rand Paul says if you get vaccinated you don't have to wear a mask.

Rand Paul is WRONG.
Rand Paul is not a real doctor.
Ra…",Rand Paul
1350527016609700000,1/16/2021 19:35,"RT @mmpadellan: Rand Paul says if you get vaccinated you don't have to wear a mask.

Rand Paul is WRONG.
Rand Paul is not a real doctor.
Ra…",Rand Paul
1350527017771360000,1/16/2021 19:35,"RT @chipfranklin: Rand Paul is a super spreader.
Pass it on.",Rand Paul
1350527021286380000,1/16/2021 19:35,"RT @reginaldedward3: Rand Paul's whining about there being too many NG troops in DC for the inauguration. Apparently, the next big move is…",Rand Paul
1350527021793770000,1/16/2021 19:35,If Trump's coup attempt had been successful nut jobs like #ThrowYourMaskAway Rand Paul would be running the country… https://t.co/sz6OfUqzPI,Rand Paul
1350527023437930000,1/16/2021 19:35,RT @JRehling: Rand Paul should be banned from practicing medicine and kicked out of the Senate. He’s actively harmful to the country.,Rand Paul
1350527024272710000,1/16/2021 19:35,"RT @chipfranklin: Rand Paul is a super spreader.
Pass it on.",Rand Paul
1350527025975440000,1/16/2021 19:35,RT @JRehling: Rand Paul should be banned from practicing medicine and kicked out of the Senate. He’s actively harmful to the country.,Rand Paul
1350527026659290000,1/16/2021 19:35,RT @PalmerReport: Rand Paul should go to prison for inciting a pandemic,Rand Paul
1350527027548460000,1/16/2021 19:35,"RT @mmpadellan: Rand Paul says if you get vaccinated you don't have to wear a mask.

Rand Paul is WRONG.
Rand Paul is not a real doctor.
Ra…",Rand Paul
1350527032380300000,1/16/2021 19:35,"RT @riotwomennn: When Rand Paul tries to spread #COVID19, I always remember this 

Senator John McCain called it in March of 2017.  

Rand…",Rand Paul
1350527038227180000,1/16/2021 19:35,RT @ZacBissonnette: God. I just love Rand Paul. And I HATED Rand Paul before this. https://t.co/z44bN89y0J,Rand Paul
1350527043096750000,1/16/2021 19:35,"RT @mmpadellan: Rand Paul says if you get vaccinated you don't have to wear a mask.

Rand Paul is WRONG.
Rand Paul is not a real doctor.
Ra…",Rand Paul
1350527044824660000,1/16/2021 19:35,"RT @mmpadellan: Rand Paul says if you get vaccinated you don't have to wear a mask.

Rand Paul is WRONG.
Rand Paul is not a real doctor.
Ra…",Rand Paul
1350527052194210000,1/16/2021 19:35,"RT @mmpadellan: Rand Paul says if you get vaccinated you don't have to wear a mask.

Rand Paul is WRONG.
Rand Paul is not a real doctor.
Ra…",Rand Paul
1350527052269530000,1/16/2021 19:35,@GaleTStrong Who cares what Rand Paul says??????,Rand Paul
1350527057869100000,1/16/2021 19:35,RT @Booker4KY: Rand Paul is the example of how dangerous it is to have people in positions of authority who speak loudly but have no clue w…,Rand Paul
1350527059592940000,1/16/2021 19:35,RT @Booker4KY: Rand Paul is the example of how dangerous it is to have people in positions of authority who speak loudly but have no clue w…,Rand Paul
