Tweet Id,Datetime,Text,
1.35025E+18,1/16/2021 1:31,@DMC_Ryan @C_R_H_M @Tesla Cybertruck doesn’t need a garage,Elon Musk
1.35025E+18,1/16/2021 1:29,@DMC_Ryan @Tesla It will be awesome,Elon Musk
1.35025E+18,1/16/2021 1:28,@owenshift Good point,Elon Musk
1.35025E+18,1/16/2021 1:20,@signalapp Your server-side code is doing too much,Elon Musk
1.3502E+18,1/15/2021 22:07,@Wikipedia Happy birthday Wikipedia! So glad you exist.,Elon Musk
1.3502E+18,1/15/2021 22:01,@TheOnion Guess you been watching Cobra Kai,Elon Musk
1.35001E+18,1/15/2021 9:24,@SuperclusterHQ @w00ki33 Fallout New Texas,Elon Musk
1.35E+18,1/15/2021 8:23,@Breedlove22 @benmezrich Only Chuck Norris can divide by zero,Elon Musk
1.34999E+18,1/15/2021 8:18,@Cerberu21014829 @Breedlove22 @benmezrich Good point,Elon Musk
1.34998E+18,1/15/2021 7:12,"@Breedlove22 @benmezrich The thing we call money is just an information system for labor allocation. 

What actuall… https://t.co/JZ6zmQGBO3",Elon Musk
1.34997E+18,1/15/2021 6:44,"Monty Python is amazing
https://t.co/UJq94IWT88",Elon Musk
1.34996E+18,1/15/2021 6:06,@RationalEtienne @tobyliiiiiiiiii @Erdayastronaut They sure can twist the knife in that show!,Elon Musk
1.34996E+18,1/15/2021 5:53,@tobyliiiiiiiiii @Erdayastronaut Probably wise,Elon Musk
1.34996E+18,1/15/2021 5:47,@Erdayastronaut We’re making major improvements to ease of engine swap. Needs to be a few hours at most.,Elon Musk
1.34995E+18,1/15/2021 5:41,"@PPathole @johnkrausphotos @SpaceX Two of the engines need slight repairs, so will be switched out",Elon Musk
1.34995E+18,1/15/2021 5:21,@johnkrausphotos @SpaceX Nice shot,Elon Musk
1.34995E+18,1/15/2021 5:17,"@realOmarAbdalah We don’t have high school internships, but please apply when you’re in college!",Elon Musk
1.34982E+18,1/14/2021 20:40,"@skorusARK Prototypes are easy, volume production is hard, positive cash flow is  excruciating",Elon Musk
1.34958E+18,1/14/2021 5:03,@Tesla Physics,Elon Musk
