Datetime,Tweet Id,Text,User
1/20/2021 0:20,1.35169E+18,finally found em’.... got cabin fever last summer and took a road trip to Memphis. MAN... I can’t describe the feel… https://t.co/VGcUoZ8Lgg,rihanna
1/14/2021 20:13,1.34981E+18,"🧜🏾‍♀️🐚...

@Essence x Lorna Simpson https://t.co/TcvXD0UYsq",rihanna
1/14/2021 20:10,1.34981E+18,"Lorna Simpson
Of Earth &amp; Sky, 2020
Photographic collage
Dimensions variable
© Lorna Simpson
Courtesy of the artist… https://t.co/svaD4CGojB",rihanna
1/14/2021 17:48,1.34978E+18,"Photographic collage: #LornaSimpson 
Writer: #ZoraSimpsonCasebere
Creative direction and fashion styling:… https://t.co/JRUZILvTjH",rihanna
1/14/2021 17:48,1.34978E+18,🧊🙏🏿 @Essence Jan/Feb 2021 Issue https://t.co/opbpDkPR5W,rihanna
1/13/2021 19:19,1.34944E+18,"You’re not my only Valentine...
@SavageXFenty https://t.co/zzpaFX0OcP",rihanna
1/13/2021 18:58,1.34943E+18,savage 🤷🏿‍♀️ @SavageXFenty https://t.co/z295XfDC9C,rihanna
1/13/2021 18:57,1.34943E+18,The Valentine’s Day VIP box 😍 @SavageXFenty https://t.co/WT37Un4mIV,rihanna
1/13/2021 18:55,1.34943E+18,Valentine shenanigans from @SavageXFenty https://t.co/253bze65i9,rihanna
1/1/2021 20:57,1.34511E+18,"new year’s resolution: 
apply the pressure https://t.co/oK37YUN7EO",rihanna
12/29/2020 17:27,1.34397E+18,Had to give y’all one more #TUTORIALTUESDAY before the year ends and it’s all about my new… https://t.co/C48pvqDAwz,rihanna
12/21/2020 22:11,1.34114E+18,"RT @Phaidon: All hail Rihanna: Queen Size. The statement volume for Rihanna fans, this luxury, queen-size edition is limited to 500 copies…",rihanna
12/19/2020 2:04,1.34012E+18,phuck a photo dump. https://t.co/jIeHfWd6Q0,rihanna
12/17/2020 16:13,1.3396E+18,"Had to make sure the set up was RIGHT 🤷🏿‍♀️ Y’all ready to cop @fentyskin December 26th at @Sephora, @HarveyNichols… https://t.co/ExyaKa7Sb7",rihanna
12/15/2020 2:27,1.33867E+18,"Droppin’ on DECEMBER 26 @fentybeauty, @sephora, @harveynichols, @BootsUK and #SephorainJCP",rihanna
12/15/2020 2:27,1.33867E+18,"Pro Filt’r foundation changed the beauty game like no other, and we not bout to stop now!! Introducing our brand NE… https://t.co/FEbjjJBlWS",rihanna
12/10/2020 17:13,1.33708E+18,"I can’t lie this #GLOSSBOMBCREAM  hit diiiiifferent!! 💋 get into it....creamy, juicy shine, AND shimmer-free (you’r… https://t.co/CmMNYU35F2",rihanna
12/9/2020 2:02,1.33649E+18,"Just me pullin up to Sephora to make sure @fentyskin is loaded! Straight like dat, we in stores from December 26th!… https://t.co/aYheDCwdDW",rihanna
12/1/2020 17:30,1.33383E+18,"woke up feeling like a Sunday in Barbados! If you know, then you know that’s the best feeling in the world! wish I… https://t.co/U44M1nYJ3P",rihanna
11/24/2020 18:15,1.3313E+18,We bringing it back ! It’s  #TUTORIALTUESDAY @fentyskin + @fentybeauty edition 🧖🏿‍♀️😘 I always say good makeup star… https://t.co/jguo93fCW1,rihanna
11/22/2020 22:28,1.33064E+18,you already know it’s #SELFCARESUNDAYS 🧖🏿‍♀️ @fentyskin https://t.co/ki28Wa98f0,rihanna
11/8/2020 2:18,1.32526E+18,"The faces of history makers, boundary breakers, and WINNERS!! CONGRATULATIONS to you both, and mostly to the Americ… https://t.co/4xh23YFRee",rihanna
11/5/2020 23:19,1.32449E+18,"RT @marceelias: 🚨ATTENTION NEVADA VOTERS! If you voted absentee check the status of your ballot NOW! 

If it was REJECTED...you have until…",rihanna
11/5/2020 23:19,1.32449E+18,"RT @marceelias: 🚨ATTENTION ARIZONA VOTERS! If you voted absentee check the status of your ballot NOW! 

If it was REJECTED...you have until…",rihanna
11/5/2020 23:18,1.32449E+18,"RT @HillaryClinton: Please share with friends and family in Georgia: 

If you voted absentee in Georgia, please check the status of your ba…",rihanna
11/4/2020 23:05,1.32413E+18,Count 👏🏿 Every 👏🏿 Vote 👏🏿 We’ll 👏🏿 Wait .,rihanna
10/20/2020 23:20,1.31869E+18,#ENDSARS 🇳🇬 https://t.co/59lrs8JnDA,rihanna
10/16/2020 1:09,1.31691E+18,savage show lip combo vibes! all from the new  @fentybeauty limited edition minis!! #STUNNA &amp; #GLOSSBOMB 👋🏿💋 https://t.co/ISDrPBqMAD,rihanna
10/12/2020 23:57,1.3158E+18,Launching on https://t.co/yH0c5ksLob October 20th. https://t.co/W6IvQGZA8f,rihanna
10/12/2020 23:57,1.3158E+18,Y’all thought I was gonna leave you without a night cream?! @fentyskin #INSTANTRESET Overnight Recovery Gel-Cream i… https://t.co/S35nFAPnmB,rihanna
10/2/2020 0:18,1.31182E+18,"#SAVAGENOTSORRY bih! 🤷🏿‍♀️ 

VOL. 2 of the @SavageXFenty show TOMORROW on @PrimeVideo https://t.co/meO8xeRrec",rihanna
10/1/2020 17:12,1.31172E+18,Tomorrow!!! OCTOBER 2nd!!! Y’all ain’t ready 💁🏿‍♀️ #SAVAGEXFENTYSHOW VOL.2 @PrimeVideo @SavageXFenty @AmazonFashion… https://t.co/d2e55gB1pB,rihanna
9/27/2020 22:05,1.31034E+18,just protecting my melanin while they try to eradicate it! @fentyskin #FentySkinStartRs mini gang! https://t.co/hCcesOXluR,rihanna
9/25/2020 18:09,1.30956E+18,Who ready?!!? #SAVAGEXFENTYSHOW VOL. ✌🏿10.02.20 #SAVAGENOTSORRY @SavageXFenty @PrimeVideo https://t.co/XRMxY9v3DH https://t.co/HWwk8TUzLn,rihanna
9/25/2020 13:31,1.30949E+18,RT @ColorOfChange: We won't stop saying #BreonnaTaylor's name. Our current justice &amp; policing system has failed. By refusing to hold her ki…,rihanna
9/25/2020 2:58,1.30933E+18,I’m just gon’ let this sink in to your hollow skull @DanielCameronAG https://t.co/ClWwrpmlUn,rihanna
9/23/2020 1:45,1.30858E+18,Follow @ClaraLionelFdn for updates and info on easiest steps to vote!,rihanna
9/23/2020 1:45,1.30858E+18,"If you can, work those polls too @PowerThePolls ...let’s go! https://t.co/S98RY2eeso",rihanna
9/23/2020 1:45,1.30858E+18,"Check your voter registration status, register, and VOTE!!! Go to https://t.co/XvELB5hFnS right now and get 👏🏿 it… https://t.co/X2xoA25MYW",rihanna
9/17/2020 17:51,1.30665E+18,"❗️#SAVAGEXFENTYSHOW VOL. 2❗️It's going down OCT 2 on @PrimeVideo! 

@SavageXFenty https://t.co/5DH8u87OBX",rihanna
8/18/2020 0:43,1.29552E+18,"Melania likes art. 🤷🏿‍♀️

#78days https://t.co/Li9Kl17vuH",rihanna
8/15/2020 3:24,1.29448E+18,"art.

#81days https://t.co/Vx1vjkzezf",rihanna
8/13/2020 22:22,1.29404E+18,"The @fentyskin START’Rs are back in stock baby, so I’ma just leave this tutorial right here... 😘! Head to … https://t.co/yDUEZX27aD",rihanna
8/13/2020 20:40,1.29401E+18,"@preemptivelove: https://t.co/TBXP33fI1d 

@impactlebanon: https://t.co/MYCtxrKBl6

Sadalsuud Foundation:… https://t.co/aMzRTjq0qE",rihanna
8/13/2020 20:40,1.29401E+18,paired with the damage many of the hospital buildings have endured! If you would like to assist in the emergency re… https://t.co/YohCr2BaGl,rihanna
8/13/2020 20:40,1.29401E+18,"Beirut has recently experienced a very devastating explosion that has left many people dead, injured, displaced fro… https://t.co/vqzSUupaqc",rihanna
8/4/2020 22:42,1.29078E+18,Went to bed with @harpersbazaarus! 😉 Watch the full video at https://t.co/Pk52yb4cdp https://t.co/07cWrV18Mn,rihanna
8/4/2020 14:46,1.29066E+18,Gray Sorrenti you baaadddd!!! https://t.co/iPPKPUnIKB,rihanna
8/4/2020 14:43,1.29066E+18,"Photographer: Gray Sorrenti
Creative Director: Jen Brill
Profile Written By: @kahlanabarfield 
Hair: @UrsulaStephen… https://t.co/L4HXuZ6dLH",rihanna
8/4/2020 14:43,1.29066E+18,dress by @FentyOfficial ... skin by God! Thank you @harpersbazaarus for featuring @fentyskin in this special Septem… https://t.co/Zn3HwBrQbI,rihanna
8/3/2020 20:51,1.29039E+18,cheers to a sunny Cali afternoon... skin protected Of course! @fentyskin #HyDRAViZoR #SPF #CoralReefFriendly #vegan… https://t.co/qVzuZCJu1k,rihanna
7/31/2020 2:05,1.28902E+18,such a fun virtual pre-launch party for @fentyskin yesterday! Thanks to all of you for the tremendous engagement an… https://t.co/ImE21xLFYB,rihanna
7/30/2020 3:44,1.28868E+18,"RT @fentyskin: We’re live y’all!! Come through to the virtual #FentySkinLaunchParty for all the dancing, drinks, Fenty Skin spa, live chats…",rihanna
7/29/2020 19:57,1.28856E+18,"Meet the crew:
1.) TOTAL CLEANS’R
2.) FAT WATER TONER SERUM
3.) HYDRA VIZOR INVISIBLE MOISTURIZER + SPF https://t.co/ef3tRYkOS2",rihanna
7/29/2020 19:56,1.28856E+18,".@fentyskin pre-order is liveee y’all!! 😝🧖🏿‍♀️ If you haven’t signed up yet, hit the link to get access to shop:… https://t.co/BSaWoeTg7T",rihanna
7/27/2020 23:45,1.2879E+18,making @fentyskin was a challenge to cover all bases and thinking of the many skin types that are out there! But y’… https://t.co/5WdcjBrBNQ,rihanna
7/27/2020 23:44,1.2879E+18,"my skincare journey has been quite complex...some parts of my face are oily, some are dry, fatigue from travel, plu… https://t.co/SNcSMxbOIP",rihanna
7/27/2020 22:01,1.28787E+18,"Today Barbados lost one of our greatest leaders, the Honorable Mr. Owen S. Arthur! A true hero! My thoughts are wit… https://t.co/PPybqPkPCY",rihanna
7/20/2020 21:43,1.28533E+18,"#codeword: green 

https://t.co/GSpWS6tXxE

@FentyOfficial x @AminaMuaddi https://t.co/BxGsVZZBD3",rihanna
7/19/2020 21:25,1.28496E+18,"that’s right baby...@fentyskin is for my fellas too! No matter who you are, you deserve to have great skin! 👌🏿 More… https://t.co/Jjd7V2tRws",rihanna
7/19/2020 16:19,1.28489E+18,"Everything starts with the foundation that is your skin and we all know how obsessed I am with beautiful, healthy s… https://t.co/11ufZ5Sa7Y",rihanna
7/19/2020 16:18,1.28489E+18,"I’ve been working on @fentyskin for over 2 years, perfecting formulas and creating packaging that is kind to our pl… https://t.co/KRDkho45fP",rihanna
7/18/2020 17:10,1.28454E+18,Thank you my brother. Thank you! 🙏🏿 Rest easy John Lewis. https://t.co/B6CQCOQbwT,rihanna
7/18/2020 2:02,1.28431E+18,THE NEW CULTURE OF SKINCARE. @fentyskin 👉🏿 July 31st exclusively at https://t.co/f8LNnr3cE8! Sign up to cop it befo… https://t.co/fNrwhsdQWR,rihanna
7/17/2020 23:14,1.28427E+18,. @FentyOfficial x @AminaMuaddi https://t.co/EsZ0i3vwLo,rihanna
7/17/2020 23:13,1.28426E+18,the #BraidMeUp by @FentyOfficial and @AminaMuaddi https://t.co/uts10zeg9C,rihanna
7/17/2020 23:05,1.28426E+18,just stopping by to let y’all know these sold out. thank you @FentyOfficial gang! https://t.co/Avkl4hhXqA,rihanna
7/15/2020 0:02,1.28319E+18,The true sin would be leaving my guys out! Not up in here! 😘 #FENTYSKIN https://t.co/0WY8DNKGgd,rihanna
