user,Category,Average
bbcbreaking,toxic,0.023383741
bbcbreaking,severe_toxic,0.000840588
bbcbreaking,obscene,0.000361012
bbcbreaking,threat,0.003562296
bbcbreaking,insult,0.00403282
bbcbreaking,identity_hate,0.002494621
billgates,toxic,0.017389167
billgates,severe_toxic,0.000465346
billgates,obscene,0.000160161
billgates,threat,0.002396684
billgates,insult,0.002943819
billgates,identity_hate,0.000728844
cnnbrk,toxic,0.008731854
cnnbrk,severe_toxic,0.00028944
cnnbrk,obscene,0.000126086
cnnbrk,threat,0.001274501
cnnbrk,insult,0.001227913
cnnbrk,identity_hate,0.001175521
donwinslow,toxic,0.087718811
donwinslow,severe_toxic,0.001675379
donwinslow,obscene,0.001958215
donwinslow,threat,0.032912828
donwinslow,insult,0.028788841
donwinslow,identity_hate,0.004930813
elonmusk,toxic,0.027118117
elonmusk,severe_toxic,0.000997948
elonmusk,obscene,0.000425994
elonmusk,threat,0.005664594
elonmusk,insult,0.005205978
elonmusk,identity_hate,0.000698157
jimmyfallon,toxic,0.025611849
jimmyfallon,severe_toxic,0.000720418
jimmyfallon,obscene,0.000356713
jimmyfallon,threat,0.004546747
jimmyfallon,insult,0.003900932
jimmyfallon,identity_hate,0.000568533
katyperry,toxic,0.056024988
katyperry,severe_toxic,0.001134115
katyperry,obscene,0.001196679
katyperry,threat,0.014955695
katyperry,insult,0.011898543
katyperry,identity_hate,0.001023994
kevinhart4real,toxic,0.116209566
kevinhart4real,severe_toxic,0.001472502
kevinhart4real,obscene,0.005970215
kevinhart4real,threat,0.070731871
kevinhart4real,insult,0.035805966
kevinhart4real,identity_hate,0.002489787
kimkardashian,toxic,0.02769774
kimkardashian,severe_toxic,0.001138917
kimkardashian,obscene,0.000534085
kimkardashian,threat,0.005319424
kimkardashian,insult,0.003940231
kimkardashian,identity_hate,0.000747327
riceuniversity,toxic,0.006615402
riceuniversity,severe_toxic,0.000345808
riceuniversity,obscene,0.000107947
riceuniversity,threat,0.001082609
riceuniversity,insult,0.001117352
riceuniversity,identity_hate,0.000455629
rihanna,toxic,0.049374532
rihanna,severe_toxic,0.000888271
rihanna,obscene,0.0018806
rihanna,threat,0.024354972
rihanna,insult,0.014049221
rihanna,identity_hate,0.002288934
sheaserrano,toxic,0.144644288
sheaserrano,severe_toxic,0.001317374
sheaserrano,obscene,0.008643659
sheaserrano,threat,0.107860987
sheaserrano,insult,0.051534213
sheaserrano,identity_hate,0.003720078
taylorswift13,toxic,0.027698299
taylorswift14,severe_toxic,0.000885344
taylorswift15,obscene,0.000434533
taylorswift16,threat,0.004197533
taylorswift17,insult,0.00393267
taylorswift18,identity_hate,0.001483773
TheEllenShow,toxic,0.026985137
TheEllenShow,severe_toxic,0.000851673
TheEllenShow,obscene,0.000325482
TheEllenShow,threat,0.003863357
TheEllenShow,insult,0.004309001
TheEllenShow,identity_hate,0.000724999
Whataburger,toxic,0.024655564
Whataburger,severe_toxic,0.00107178
Whataburger,obscene,0.000252192
Whataburger,threat,0.002682274
Whataburger,insult,0.00412806
Whataburger,identity_hate,0.000537568
